Fragment,XM_016935627.2,99.000,100,1,0,1,100,1284,1383,5.15e-44,180
Fragment,XM_016935627.2,100.000,100,0,0,1,100,1373,1472,1.11e-45,185
Fragment,AC270542.1,91.667,48,2,2,2,47,96223,96270,1.51e-09,65.8
Fragment,XM_016942675.2,90.000,50,5,0,1,50,5035,4986,1.51e-09,65.8
Fragment,AC185980.2,89.583,48,4,1,1,47,97566,97613,7.00e-08,60.2
Fragment,AC275882.1,87.755,98,10,2,1,98,159753,159658,5.30e-24,113
Fragment,AC190201.3,87.000,100,9,3,1,100,154357,154262,6.86e-23,110
Fragment,AC190201.3,84.000,100,9,2,1,100,102800,102892,8.93e-17,89.8
Fragment,AC185136.3,87.255,102,5,5,1,100,167168,167263,6.86e-23,110
Fragment,AC183665.2,87.000,100,10,3,1,100,4925,4829,6.86e-23,110
Fragment,AC161937.4,87.000,100,10,3,1,100,89977,89881,6.86e-23,110
Fragment,AC275731.1,91.892,74,6,0,1,74,52108,52035,3.19e-21,104
Fragment,AC189688.3,86.000,100,11,2,1,100,13710,13806,3.19e-21,104
Fragment,AC182640.3,91.892,74,6,0,1,74,96359,96286,3.19e-21,104
Fragment,AC140949.1,86.000,100,11,2,1,100,126551,126647,3.19e-21,104
Fragment,BS000205.2,91.892,74,6,0,1,74,150002,150075,3.19e-21,104
Fragment,BS000205.2,84.000,100,9,2,1,100,96787,96879,8.93e-17,89.8
Fragment,AC279127.1,86.000,100,9,2,1,100,54064,54158,1.15e-20,102
Fragment,AC192829.3,85.149,101,13,2,1,100,188160,188259,1.15e-20,102
Fragment,AC270724.1,90.789,76,5,2,1,74,172030,171955,4.13e-20,100
Fragment,AC270670.1,90.789,76,5,2,1,74,123651,123726,4.13e-20,100
Fragment,AC216128.3,86.598,97,6,2,1,97,158539,158628,4.13e-20,100
Fragment,AC193211.4,90.789,76,6,1,1,76,200972,200898,4.13e-20,100
Fragment,AC192817.3,86.000,100,7,2,1,100,79512,79420,4.13e-20,100
Fragment,AC192817.3,83.000,100,10,2,1,100,153015,152923,4.16e-15,84.2
Fragment,AC196938.3,84.615,104,12,1,1,100,46987,46884,4.13e-20,100
Fragment,AC192288.3,86.000,100,7,4,1,100,113637,113729,4.13e-20,100
Fragment,AC197172.2,87.500,88,9,1,1,86,47746,47833,4.13e-20,100
Fragment,AC197172.2,82.000,100,11,2,1,100,29457,29549,1.93e-13,78.7
Fragment,AC158539.2,94.030,67,3,1,1,67,23960,24025,4.13e-20,100
Fragment,AC158539.2,90.741,54,4,1,1,54,3611,3559,3.24e-11,71.3
Fragment,AC192178.2,84.615,104,12,1,1,100,78614,78511,4.13e-20,100
Fragment,AC279146.1,85.714,98,8,5,1,98,84913,84822,1.48e-19,99.0
Fragment,AC279146.1,86.957,69,2,5,1,66,124498,124434,3.24e-11,71.3
Fragment,XM_054661267.1,85.714,98,8,2,3,100,10361,10270,1.48e-19,99.0
Fragment,XM_054661267.1,82.000,100,11,2,1,100,601,509,1.93e-13,78.7
Fragment,XR_008538165.1,84.848,99,14,1,1,98,6954,7052,1.48e-19,99.0
Fragment,AC215926.3,90.667,75,6,1,1,74,62435,62361,1.48e-19,99.0
Fragment,CU693380.2,92.754,69,3,2,8,74,81661,81729,1.48e-19,99.0
Fragment,CU633157.2,90.667,75,6,1,1,74,106751,106825,1.48e-19,99.0
Fragment,CU372930.2,90.667,75,6,1,1,74,149422,149496,1.48e-19,99.0
Fragment,AC192188.3,88.889,81,7,2,1,81,134025,134103,1.48e-19,99.0
Fragment,AC192191.3,90.667,75,6,1,1,74,46411,46337,1.48e-19,99.0
Fragment,AC188381.2,85.714,98,9,2,1,98,111754,111662,1.48e-19,99.0
Fragment,AC188381.2,85.135,74,11,0,1,74,7356,7283,6.95e-13,76.8
Fragment,AC190401.2,85.714,98,9,2,1,98,145168,145076,1.48e-19,99.0
Fragment,AC190401.2,85.135,74,11,0,1,74,40746,40673,6.95e-13,76.8
Fragment,AC146278.3,85.714,98,9,2,1,98,44026,43934,1.48e-19,99.0
Fragment,AC159023.4,85.859,99,7,2,1,99,166063,166154,1.48e-19,99.0
Fragment,AC159743.4,85.859,99,7,2,1,99,107493,107402,1.48e-19,99.0
Fragment,AC186197.2,85.000,100,9,3,1,100,51791,51698,5.34e-19,97.1
Fragment,AC186197.2,89.041,73,7,1,1,73,60293,60364,8.93e-17,89.8
Fragment,AC186197.2,97.368,38,1,0,1,38,22278,22315,1.51e-09,65.8
Fragment,AC186197.2,78.000,100,15,7,1,100,132790,132882,9.06e-07,56.5
Fragment,AC194785.2,85.000,100,9,3,1,100,179501,179408,5.34e-19,97.1
Fragment,AC194785.2,89.041,73,7,1,1,73,188003,188074,8.93e-17,89.8
Fragment,AC194785.2,82.667,75,12,1,1,74,89693,89619,1.51e-09,65.8
Fragment,AC194785.2,97.368,38,1,0,1,38,149988,150025,1.51e-09,65.8
Fragment,AC213076.4,85.567,97,9,2,1,97,6291,6382,5.34e-19,97.1
Fragment,AC193874.3,85.149,101,7,4,1,100,74568,74661,5.34e-19,97.1
Fragment,AC195270.4,85.000,100,9,3,1,100,151360,151453,5.34e-19,97.1
Fragment,AC195270.4,89.041,73,7,1,1,73,142857,142786,8.93e-17,89.8
Fragment,AC195270.4,97.368,38,1,0,1,38,180872,180835,1.51e-09,65.8
Fragment,AC195270.4,78.000,100,15,7,1,100,70364,70272,9.06e-07,56.5
Fragment,AC200158.3,90.411,73,7,0,1,73,103467,103395,5.34e-19,97.1
Fragment,AC200158.3,84.000,100,9,3,1,100,137021,136929,8.93e-17,89.8
Fragment,AC193265.3,85.000,100,10,2,1,100,137129,137035,5.34e-19,97.1
Fragment,AC193021.3,90.541,74,6,1,1,74,147366,147438,5.34e-19,97.1
